device_type,brand,model,release_year,os,form_factor,cpu_brand,cpu_model,cpu_tier,cpu_cores,cpu_threads,cpu_base_ghz,cpu_boost_ghz,gpu_brand,gpu_model,gpu_tier,vram_gb,ram_gb,storage_type,storage_gb,storage_drive_count,display_type,display_size_in,resolution,refresh_hz,battery_wh,charger_watts,psu_watts,wifi,bluetooth,weight_kg,warranty_months,price
Desktop,Samsung,Samsung Forge XDI,2022,Windows,ATX,Intel,Intel i5-11129,3,12,24,2.8,3.8,NVIDIA,RTX 40 60,2,6,16,NVMe,1024,1,LED,27.0,2560x1440,90,0,0,750,Wi-Fi 6,5.1,11.0,36,1383.99
Laptop,Samsung,Samsung Pro KM8,2022,Windows,Mainstream,Intel,Intel i7-11114,4,12,24,2.6,3.6,NVIDIA,RTX 40 80,4,10,64,NVMe,512,1,OLED,16.0,1920x1080,90,56,120,0,Wi-Fi 6,5.3,2.03,12,2274.99
Desktop,Lenovo,Lenovo Strix BIE,2024,macOS,SFF,AMD,AMD Ryzen 5 5168,2,8,16,2.6,3.6,NVIDIA,RTX 40 50,1,4,8,NVMe,512,2,LED,32.0,3440x1440,120,0,0,850,Wi-Fi 6,5.0,7.0,24,1879.99
Desktop,Dell,Dell Cube AXR,2024,Windows,ATX,AMD,AMD Ryzen 5 7550,2,6,12,2.6,3.6,AMD,RX 7000 60,2,6,16,HDD,512,2,IPS,27.0,3440x1440,120,0,0,650,Wi-Fi 6,5.2,6.0,36,1331.99
Laptop,Gigabyte,Gigabyte Pro IX1,2024,Linux,Gaming,AMD,AMD Ryzen 7 6230,5,16,32,2.8,3.9,NVIDIA,RTX 30 80 Ti,5,12,96,NVMe,256,1,Mini-LED,15.6,2560x1600,90,80,90,0,Wi-Fi 6,5.2,1.5,12,2681.99
Desktop,MSI,MSI Think KSG,2025,Windows,ATX,Intel,Intel i7-10369,5,16,32,3.2,4.3,NVIDIA,RTX 40 90,6,16,96,NVMe,512,2,LED,24.0,2560x1440,90,0,0,1000,Wi-Fi 5,5.0,9.0,36,2751.99
Desktop,Apple,Apple Arena R5Q,2024,Windows,ATX,Apple,Apple M2,2,6,6,2.6,3.5,Apple,Apple Integrated,1,0,8,Hybrid,2048,2,VA,32.0,2560x1440,60,0,0,850,Wi-Fi 6,5.1,9.0,24,1609.99
Desktop,Apple,Apple Station EWP,2023,Windows,Micro-ATX,Apple,Apple M2 Pro,3,8,8,2.8,3.7,Apple,Apple Integrated,4,0,32,Hybrid,1024,1,LED,27.0,2560x1440,60,0,0,650,Wi-Fi 6,5.0,8.0,12,2139.99
Laptop,Dell,Dell Creator GIQ,2024,Windows,Mainstream,Intel,Intel i9-14473,6,26,52,3.0,4.1,NVIDIA,RTX 40 90,6,16,128,SSD,1024,1,LED,14.0,2560x1600,60,80,240,0,Wi-Fi 5,5.0,1.17,48,2953.99
Laptop,Lenovo,Lenovo Blade MIZ,2025,Windows,Ultrabook,AMD,AMD Ryzen 3 4374,1,4,8,2.0,2.9,NVIDIA,RTX 30 50,1,4,8,NVMe,512,1,IPS,15.6,3840x2160,120,60,45,0,Wi-Fi 6,5.3,1.5,24,1653.99
Laptop,HP,HP Pro 6XS,2023,Windows,Mainstream,Intel,Intel i5-13209,2,6,12,2.2,3.1,NVIDIA,RTX 40 60,2,6,16,NVMe,1024,1,Mini-LED,17.3,1920x1080,165,70,90,0,Wi-Fi 6E,5.2,1.24,36,1371.99
Desktop,Samsung,Samsung Creator GX9,2021,Windows,SFF,AMD,AMD Ryzen 5 7218,2,6,10,2.6,3.6,NVIDIA,RTX 30 60,2,6,16,NVMe,1024,3,IPS,32.0,2560x1440,120,0,0,750,Wi-Fi 6E,5.2,11.0,36,1366.99
Desktop,HP,HP Arena 42K,2022,Windows,ATX,Intel,Intel i7-12518,4,14,28,3.0,3.9,NVIDIA,RTX 40 80,4,10,64,HDD,512,1,OLED,32.0,1920x1080,60,0,0,1200,Wi-Fi 7,5.0,13.0,24,1507.99
Desktop,Acer,Acer Station XDV,2023,macOS,ATX,AMD,AMD Ryzen 7 7165,4,12,24,3.0,3.9,AMD,RX 6000 80,4,10,64,SSD,1024,1,OLED,32.0,3840x2160,90,0,0,550,Wi-Fi 5,5.0,6.0,12,2761.99
Laptop,Lenovo,Lenovo Legion SZI,2024,Windows,2-in-1,AMD,AMD Ryzen 7 5955,5,18,36,2.8,3.6,NVIDIA,RTX 30 70,3,8,64,SSD,1024,1,LED,15.6,1920x1080,90,56,65,0,Wi-Fi 6,5.0,1.7,12,2045.99
Laptop,Dell,Dell Nitro 614,2024,Windows,Ultrabook,AMD,AMD Ryzen 7 5302,4,14,28,2.6,3.6,NVIDIA,RTX 30 70,3,8,32,SSD,1024,1,LED,15.6,2560x1600,60,70,180,0,Wi-Fi 6,5.1,1.1,24,2109.99
Laptop,Acer,Acer Zen NYU,2020,macOS,Gaming,AMD,AMD Ryzen 7 7128,4,14,28,2.6,3.4,NVIDIA,RTX 40 80 Ti,5,12,64,HDD,1024,1,OLED,14.0,2560x1600,60,80,90,0,Wi-Fi 6,4.2,1.87,24,2678.99
Laptop,Apple,Apple Blade 0BN,2023,Windows,Mainstream,Apple,Apple M3 Pro,5,18,18,2.8,3.6,Apple,Apple Integrated,6,6,96,NVMe,1024,1,QLED,14.0,1920x1080,60,60,45,0,Wi-Fi 6E,5.1,1.17,24,3421.99
Desktop,MSI,MSI Creator 3VR,2025,Windows,ATX,Intel,Intel i5-14935,2,8,16,2.6,3.5,AMD,RX 7000 60,2,6,16,SSD,1024,2,LED,27.0,1920x1080,165,0,0,550,Wi-Fi 6,5.2,8.0,24,1388.99
Desktop,ASUS,ASUS Arena FR8,2019,Windows,ATX,Intel,Intel i7-11194,4,12,24,3.0,4.0,NVIDIA,RTX 40 70,3,8,32,NVMe,1024,2,VA,34.0,1920x1080,90,0,0,850,Wi-Fi 6,5.2,11.0,12,1525.99
Desktop,HP,HP Pro 2WA,2023,Windows,SFF,Intel,Intel i3-14697,1,4,8,2.4,3.4,NVIDIA,RTX 30 50,1,4,8,HDD,512,2,LED,27.0,3440x1440,120,0,0,550,Wi-Fi 5,5.3,6.0,12,1123.99
Laptop,Dell,Dell Slim NHG,2024,Windows,Mainstream,Intel,Intel i7-12360,5,18,36,2.8,3.7,AMD,RX 7000 80 XT,5,12,96,Hybrid,1024,1,OLED,17.3,1920x1080,90,70,120,0,Wi-Fi 6,5.0,1.44,24,2560.99
Desktop,Apple,Apple Cube 1S3,2019,Windows,SFF,Apple,Apple M1 Pro,5,16,16,3.2,4.1,Apple,Apple Integrated,5,0,96,NVMe,256,1,OLED,24.0,1920x1080,120,0,0,450,Wi-Fi 6E,5.3,6.0,12,2530.99
Desktop,MSI,MSI Arena HTB,2023,Windows,ATX,Intel,Intel i3-13251,1,4,8,2.4,3.4,AMD,RX 5000 50,1,4,8,Hybrid,1024,2,IPS,27.0,2560x1440,120,0,0,550,Wi-Fi 6,5.2,6.0,24,980.99
Desktop,ASUS,ASUS Creator PRP,2024,Linux,ATX,Intel,Intel i5-12912,3,12,22,2.8,3.8,NVIDIA,RTX 40 70,3,8,32,SSD,512,2,LED,24.0,1920x1080,144,0,0,300,Wi-Fi 6E,5.1,4.0,24,1503.99
Laptop,Acer,Acer Think VVE,2024,Windows,Ultrabook,Intel,Intel i7-12494,5,16,32,2.8,3.7,NVIDIA,RTX 30 80 Ti,5,12,104,NVMe,512,1,OLED,16.0,3840x2160,60,50,90,0,Wi-Fi 6E,4.2,1.53,12,3002.99
Laptop,Apple,Apple Air W7N,2022,Linux,2-in-1,Apple,Apple M1 Max,6,26,26,3.0,3.8,Apple,Apple Integrated,6,4,144,NVMe,2048,1,OLED,16.0,2560x1600,90,60,65,0,Wi-Fi 5,5.0,1.53,12,3546.99
Laptop,Samsung,Samsung Blade 1NN,2024,Windows,Gaming,Intel,Intel i5-10570,3,10,20,2.4,3.4,NVIDIA,RTX 40 80,4,10,32,SSD,2048,1,OLED,17.3,1920x1080,60,70,120,0,Wi-Fi 6,5.3,1.84,24,2386.99
Laptop,Samsung,Samsung Legion TES,2022,ChromeOS,Mainstream,AMD,AMD Ryzen 9 3455,6,24,48,3.0,3.8,AMD,RX 5000 90,6,16,128,NVMe,512,1,Mini-LED,15.6,2560x1600,60,70,120,0,Wi-Fi 6,5.3,2.0,36,3173.99
Desktop,ASUS,ASUS Creator ZC4,2022,Windows,ATX,Intel,Intel i5-10622,3,10,18,2.8,3.7,NVIDIA,RTX 40 60,2,6,16,SSD,1024,4,IPS,24.0,2560x1440,60,0,0,1000,Wi-Fi 6,5.2,5.0,12,1489.99
Desktop,HP,HP Forge 9ML,2020,Windows,ATX,AMD,AMD Ryzen 7 7338,4,12,24,3.0,4.0,NVIDIA,RTX 30 80,4,10,64,NVMe,256,2,LED,32.0,2560x1440,60,0,0,750,Wi-Fi 6E,5.3,11.0,24,1641.99
Desktop,ASUS,ASUS Strix PI8,2022,Windows,Mini-ITX,AMD,AMD Ryzen 7 5167,4,14,28,3.0,3.9,NVIDIA,RTX 30 80 Ti,5,12,64,NVMe,1024,2,LED,32.0,2560x1440,60,0,0,450,Wi-Fi 6,5.0,10.0,24,2306.99
Laptop,Samsung,Samsung Slim OOO,2021,Windows,Ultrabook,AMD,AMD Ryzen 5 5188,3,8,16,2.4,3.3,NVIDIA,RTX 30 70,3,8,40,SSD,2048,1,OLED,15.6,1920x1080,240,80,90,0,Wi-Fi 6,5.2,1.7,24,2269.99
Laptop,HP,HP Think E41,2021,Windows,Mainstream,Intel,Intel i5-10828,3,8,16,2.4,3.2,NVIDIA,RTX 40 60,2,6,16,NVMe,512,2,LED,17.3,1920x1080,60,80,65,0,Wi-Fi 5,5.0,1.24,36,1274.99
Laptop,Apple,Apple Think YDD,2020,Windows,Gaming,Apple,Apple M2,5,16,16,2.8,3.7,Apple,Apple Integrated,5,2,96,NVMe,1024,1,OLED,14.0,1920x1080,120,70,90,0,Wi-Fi 6E,5.0,1.17,24,3163.99
Laptop,HP,HP Nitro 4Z1,2018,Linux,Ultrabook,AMD,AMD Ryzen 7 7753,5,16,30,2.8,3.6,NVIDIA,RTX 40 80,4,10,64,NVMe,512,2,Mini-LED,14.0,1920x1080,60,80,45,0,Wi-Fi 6E,5.3,2.37,24,2232.99
Laptop,Acer,Acer Creator WM6,2023,Windows,Gaming,AMD,AMD Ryzen 7 5904,5,18,36,2.8,3.7,NVIDIA,RTX 30 80,4,10,64,NVMe,2048,1,Mini-LED,15.6,2560x1600,60,56,65,0,Wi-Fi 5,5.0,2.5,12,2307.99
Laptop,HP,HP Stealth JXJ,2024,Windows,Mainstream,Intel,Intel i7-11751,5,18,34,2.8,3.7,AMD,RX 7000 80,4,10,64,Hybrid,512,1,VA,15.6,2880x1800,60,80,90,0,Wi-Fi 6,5.0,2.5,12,1947.99
Laptop,Samsung,Samsung Nitro LFH,2022,Windows,Gaming,Intel,Intel i7-12550,4,12,24,2.6,3.6,Apple,Apple Integrated,5,4,72,Hybrid,1024,1,IPS,13.3,1920x1080,240,56,240,0,Wi-Fi 6,5.1,1.82,48,2623.99
Desktop,Apple,Apple Creator L67,2024,Windows,ATX,Apple,Apple M1 Max,3,8,8,2.8,3.6,Apple,Apple Integrated,2,6,16,NVMe,512,4,OLED,27.0,1920x1080,60,0,0,650,Wi-Fi 5,5.2,10.0,36,1720.99
Laptop,Lenovo,Lenovo Legion S6M,2022,Windows,Ultrabook,Intel,Intel i3-14339,1,4,8,2.0,2.8,NVIDIA,RTX 40 50,1,4,24,NVMe,512,1,QLED,17.3,2560x1600,165,90,45,0,Wi-Fi 6E,5.1,1.24,24,1410.99
Desktop,Dell,Dell Station 6HF,2020,macOS,ATX,AMD,AMD Ryzen 5 5795,2,6,12,2.6,3.7,NVIDIA,RTX 40 50,1,4,8,HDD,1024,2,Mini-LED,32.0,1920x1080,90,0,0,550,Wi-Fi 7,5.2,6.0,24,1251.99
Desktop,ASUS,ASUS Arena 457,2024,Windows,Micro-ATX,Intel,Intel i5-11126,3,8,16,2.8,3.8,NVIDIA,RTX 40 80,4,10,32,SSD,512,2,LED,24.0,2560x1440,60,0,0,450,Wi-Fi 6,5.1,6.0,48,1696.99
Laptop,ASUS,ASUS Blade 2FW,2023,Windows,Mainstream,Intel,Intel i7-12337,5,16,32,2.8,3.8,Apple,Apple Integrated,5,6,96,NVMe,2048,1,Mini-LED,15.6,3840x2160,240,90,65,0,Wi-Fi 7,5.1,1.5,24,3151.99
Desktop,ASUS,ASUS Forge W6Q,2021,macOS,Micro-ATX,AMD,AMD Ryzen 5 6942,3,8,16,2.8,3.6,NVIDIA,RTX 40 80,4,10,32,NVMe,1024,2,OLED,27.0,2560x1440,144,0,0,550,Wi-Fi 6E,5.0,6.0,12,2451.99
Desktop,Lenovo,Lenovo Cube V41,2025,Windows,SFF,Intel,Intel i5-13697,2,8,16,2.6,3.5,NVIDIA,RTX 30 50,1,4,8,Hybrid,512,1,OLED,24.0,2560x1440,165,0,0,550,Wi-Fi 5,5.0,4.0,36,1427.99
Laptop,MSI,MSI Think CPX,2024,Windows,Gaming,Intel,Intel i9-14792,6,26,52,3.0,4.0,NVIDIA,RTX 30 90,6,16,128,SSD,256,1,LED,17.3,2560x1600,60,80,65,0,Wi-Fi 6,5.1,2.64,12,3039.99
Laptop,Dell,Dell Slim YB5,2020,macOS,Mainstream,Intel,Intel i5-14367,2,6,12,2.2,3.3,Apple,Apple Integrated,2,4,16,SSD,1024,2,LED,15.6,1920x1080,240,70,180,0,Wi-Fi 6,5.3,1.5,24,1691.99
Desktop,Samsung,Samsung Forge JJN,2018,Windows,Full-Tower,AMD,AMD Ryzen 5 4719,2,6,10,2.6,3.4,NVIDIA,RTX 30 50,1,4,8,NVMe,512,1,LED,34.0,2560x1440,240,0,0,650,Wi-Fi 6,5.0,4.0,12,1301.99
Laptop,HP,HP Slim 7K8,2021,Windows,Gaming,Intel,Intel i5-10423,3,8,16,2.4,3.2,NVIDIA,RTX 40 70,3,8,32,SSD,2048,1,Mini-LED,16.0,3840x2160,60,60,65,0,Wi-Fi 7,5.3,1.33,36,2165.99
Laptop,Lenovo,Lenovo Pro 2DS,2025,Windows,Gaming,AMD,AMD Ryzen 5 7130,3,8,16,2.4,3.4,NVIDIA,RTX 30 70,3,8,32,SSD,2048,2,VA,13.3,1920x1080,144,50,90,0,Wi-Fi 6E,5.2,1.32,12,2278.99
Laptop,Lenovo,Lenovo Air A7O,2019,Windows,Workstation,AMD,AMD Ryzen 5 5196,3,10,20,2.4,3.3,NVIDIA,RTX 40 70,3,8,32,HDD,512,1,IPS,15.6,1920x1080,120,70,65,0,Wi-Fi 6,5.2,2.0,24,1559.99
Desktop,Razer,Razer Think D1Z,2023,Windows,Micro-ATX,Intel,Intel i3-11938,1,6,12,2.4,3.2,NVIDIA,RTX 30 50,1,4,8,Hybrid,1024,1,Mini-LED,27.0,2560x1440,120,0,0,750,Wi-Fi 5,5.2,16.0,24,1726.99
